CLV;CLM;CLI;FEGL;SIGL;PGL;ALGL;MNGL;PFGL;CAGL;MGGL;TIGL;FOGL;Fe3O4GL;G1;G2;G3;G23;G4;FE1;SI1;P1;AL1;MN1;PF1;CA1;MG1;TI1;FO1;Fe3O4_1;FE2;SI2;P2;AL2;MN2;PF2;CA2;MG2;TI2;FO2;Fe3O4_2;FE3;SI3;P3;AL3;MN3;PF3;CA3;MG3;TI3;FO3;Fe3O4_3;FE23;SI23;P23;AL23;MN23;PF23;CA23;MG23;TI23;FO23;Fe3O4_23;FE4;SI4;P4;AL4;MN4;PF4;CA4;MG4;TI4;FO4;Fe3O4_4;FQGL;FQ1;FQ2;FQ3;FQ23;FQ4
IDOC;GAD;IDO;9,714;21,346;0,015;1,307;0,331;30,912;19,452;11,988;0,05;-99;1,939;96;3,055;0,484;3,539;0,461;9,685;21,393;0,015;1,292;0,331;30,923;19,453;11,974;0,049;-99;1,9;8,432;18,926;0,015;1,43;0,332;32,864;20,86;12,964;0,054;-99;2,16;13,978;18,619;0,022;2,345;0,331;28,28;18,311;12,025;0,107;-99;6,43;9,19;18,884;0,016;1,555;0,332;32,237;20,511;12,836;0,061;-99;2,744;19,857;30,537;0,034;2,627;0,308;18,417;0,108;8,488;11,158;-99;3,89;99,34;99,327;99,542;99,927;99,593;100,066
IDOC;GAD;IDO;10,916;26,708;0,017;0,753;0,308;27,908;18,63;9,871;0,029;-99;1,797;98,676;1,017;0,15;1,167;0,157;10,903;26,782;0,017;0,743;0,308;27,888;18,621;9,853;0,029;-99;1,8;10,166;20,621;0,017;1,206;0,322;31,08;20,173;11,787;0,047;-99;1,34;14,661;18,938;0,026;2,153;0,296;27,992;18,667;11,109;0,103;-99;1,85;10,744;20,405;0,018;1,328;0,319;30,683;19,979;11,7;0,054;-99;1,406;20,573;26,946;0,039;2,553;0,222;19,731;0,1;7,532;14,013;-99;2,77;99,88;99,878;99,857;100,301;99,914;100,569
IDOC;GAD;IDO;8,226;17,999;0,015;0,493;0,34;33,159;26,939;8,733;0,021;-99;1,04;97,764;1,569;0,336;1,905;0,331;8,179;18,028;0,015;0,488;0,34;33,181;26,956;8,74;0,021;-99;1,04;8,851;16,183;0,016;0,597;0,351;33,651;26,353;9,404;0,026;-99;0,93;10,908;16,383;0,018;0,641;0,325;31,823;26,966;7,801;0,033;-99;0,93;9,214;16,218;0,016;0,605;0,346;33,329;26,461;9,121;0,027;-99;0,93;16,408;19,608;0,028;1,272;0,236;25,586;0,039;4,58;24,65;-99;1,65;99,542;99,545;99,326;99,671;99,386;99,505
IDOC;GAD;IDO;5,112;13,634;0,013;0,625;0,407;37,376;27,597;12,176;0,023;-99;0,324;98,373;1,208;0,222;1,43;0,197;5,063;13,617;0,013;0,62;0,407;37,421;27,633;12,186;0,023;-99;0,32;5,286;13,868;0,016;0,742;0,409;37,077;26,998;12,354;0,031;-99;0,37;9,052;13,499;0,022;0,951;0,382;34,406;25,46;11,309;0,051;-99;0,83;5,871;13,811;0,017;0,774;0,405;36,662;26,759;12,192;0,034;-99;0,441;23,87;20,682;0,042;2,021;0,263;20,115;0,088;6,852;15,501;-99;1,44;99,282;99,283;99,179;99,133;99,172;99,772
IDOC;GAD;IDO;10,591;24,026;0,016;1,058;0,314;29,393;18,969;11,083;0,043;-99;2,697;90,33;7,497;1,227;8,724;0,946;10,429;24,189;0,016;1,037;0,315;29,436;18,999;11,099;0,041;-99;2,66;11,283;21,866;0,017;1,113;0,316;30,007;19,318;11,247;0,049;-99;2,77;13,954;20,702;0,022;1,572;0,314;28,218;18,325;10,716;0,082;-99;3,38;11,659;21,702;0,018;1,178;0,316;29,755;19,178;11,172;0,054;-99;2,856;16,258;29,893;0,03;1,975;0,249;21,951;0,085;8,765;14,206;-99;4,8;100,065;100,063;100,083;99,904;100,058;100,343
IOCF;IGO;IGO;58,859;2,279;0,046;4,477;0,219;7,361;0,054;0,317;0,2;-99;4,235;32,541;24,625;17,515;42,14;25,319;56,948;2,104;0,036;6,003;0,173;8,912;0,123;0,307;0,164;-99;7,15;61,073;2,186;0,045;4,152;0,215;4,558;0,02;0,301;0,184;-99;3,89;60,914;2,511;0,052;3,862;0,257;4,881;0,022;0,328;0,229;-99;2,46;61,007;2,321;0,048;4,031;0,232;4,692;0,021;0,312;0,203;-99;3,296;57,74;2,435;0,054;3,256;0,256;9,81;0,242;0,338;0,019;-99;2,05;99,079;99,09;98,963;99,288;99,097;99,034
IOCF;IGO;IGO;56,8230;2,385;0,044;4,338;0,154;10,684;0,046;0,362;0,152;-99;2,607;45,164;22,189;11,974;34,163;20,673;55,669;2,245;0,042;5,75;0,151;11,27;0,076;0,382;0,148;-99;2,77;57,931;1,881;0,042;3,617;0,147;10,017;0,022;0,327;0,143;-99;3,68;57,234;3,355;0,045;3,068;0,157;10,291;0,022;0,338;0,15;-99;1,85;57,687;2,398;0,043;3,425;0,151;10,113;0,022;0,331;0,145;-99;3,039;57,916;2,672;0,048;2,761;0,165;10,346;0,171;0,37;0,021;-99;1,54;99,415;99,656;98,99;99,293;99,098;99,413
IOCF;IGO;IGO;55,797;5,242;0,073;3,716;0,155;9,708;0,025;0,294;0,186;-99;2,333;10,052;21,941;14,367;36,308;53,64;49,13;5,231;0,066;10,787;0,161;11,795;0,023;0,305;0,267;-99;3,68;56,271;4,943;0,063;3,434;0,135;9,634;0,024;0,302;0,13;-99;2,66;52,097;13,21;0,062;2,42;0,106;8,329;0,032;0,242;0,126;-99;1,95;54,619;8,214;0,063;3,033;0,124;9,118;0,027;0,278;0,128;-99;2,379;57,844;3,232;0,081;2,853;0,176;9,717;0,209;0,303;0,024;-99;2,05;99,231;98,881;99,144;99,054;99,109;99,38
IOCF;IGO;IGO;56,754;5,169;0,066;3,088;0,094;9,445;0,018;0,164;0,161;-99;2,377;11,069;18,485;18,013;36,498;52,433;53,367;3,743;0,07;6,861;0,115;11,921;0,016;0,181;0,176;-99;2,36;57,641;3,348;0,064;3,258;0,088;10,007;0,019;0,172;0,134;-99;3,89;55,516;8,121;0,06;2,509;0,08;8,751;0,017;0,151;0,129;-99;2,66;56,592;5,704;0,062;2,888;0,084;9,387;0,018;0,162;0,132;-99;3,283;57,581;5,098;0,067;2,431;0,096;8,963;0,179;0,163;0,018;-99;1,75;99,376;99,424;99,473;99,198;99,338;99,393
IOCF;IGO;IGO;54,675;6,938;0,088;3,808;0,119;9,51;0,028;0,214;0,258;-99;1,971;13,711;20,693;20,078;40,771;45,518;51,779;6,116;0,103;6,372;0,147;11,745;0,024;0,242;0,357;-99;2,26;53,535;7,02;0,095;4,152;0,143;10,908;0,02;0,225;0,264;-99;1,75;53,241;9,465;0,088;3,539;0,123;9,254;0,034;0,235;0,261;-99;2,16;53,39;8,224;0,092;3,85;0,133;10,093;0,027;0,23;0,263;-99;1,952;56,698;6,033;0,08;2,998;0,098;8,315;0,225;0,191;0,03;-99;1,9;99,212;99,232;99,47;99,192;99,334;99,097
