CLV;CLM;CLI;FEGL;SIGL;PGL;ALGL;MNGL;PFGL;CAGL;MGGL;TIGL;FOGL;Fe3O4GL;G1;G2;G3;G23;G4;FE1;SI1;P1;AL1;MN1;PF1;CA1;MG1;TI1;FO1;Fe3O4_1;FE2;SI2;P2;AL2;MN2;PF2;CA2;MG2;TI2;FO2;Fe3O4_2;FE3;SI3;P3;AL3;MN3;PF3;CA3;MG3;TI3;FO3;Fe3O4_3;FE23;SI23;P23;AL23;MN23;PF23;CA23;MG23;TI23;FO23;Fe3O4_23;FE4;SI4;P4;AL4;MN4;PF4;CA4;MG4;TI4;FO4;Fe3O4_4;FQGL;FQ1;FQ2;FQ3;FQ23;FQ4
IGOF;IF;IF;27,881;57,749;0,032;0,723;0,106;1,336;0,01;0,047;0,087;-99;2,41;16,8;11,4;19,1;30,5;52,7;26,44;57,42;0,046;1,12;0,158;2,22;0,01;0,088;0,141;-99;1,3;39,92;36,81;0,07;1,55;0,238;3,42;0,01;0,128;0,169;-99;2,3;28,67;55,8;0,037;0,91;0,127;1,65;0,01;0,066;0,084;-99;2,1;32,875;48,702;0,049;1,149;0,168;2,312;0,01;0,089;0,116;-99;2,175;25,45;63,09;0,017;0,35;0,053;0,49;0,01;0,01;0,054;-99;2,9;99,94;99,065;99,549;99,686;99,633;100,397
IGOF;IC;IC;38,952;39,029;0,053;1,663;0,066;2,533;0,01;0,052;0,136;-99;1,255;50,3;13;11,2;24,2;25,5;45,72;28,3;0,059;1,71;0,065;2,41;0,01;0,051;0,129;-99;0,9;41,98;32,11;0,075;2,58;0,096;4,62;0,01;0,062;0,2;-99;1,3;31,98;48,48;0,054;2,15;0,077;3,17;0,01;0,113;0,172;-99;1,1;37,352;39,686;0,065;2,381;0,087;3,949;0,01;0,086;0,187;-99;1,207;27,12;59,57;0,028;0,89;0,046;1,43;0,01;0,023;0,101;-99;2;99,276;98,164;99,852;100,002;99,921;100,852
IGOF;IGO;IGO;49,8000;19,983;0,064;1,808;0,259;5,564;0,01;0,037;0,142;-99;1,036;53,4;12,6;7,5;20,1;26,5;53,93;13,49;0,071;1,64;0,325;6,53;0,01;0,053;0,105;-99;1,1;55,41;11,6;0,065;1,71;0,146;5,8;0,01;0,016;0,18;-99;1,1;51,14;17,59;0,061;2,21;0,202;5,12;0,01;0,056;0,249;-99;1,3;53,817;13,835;0,064;1,897;0,167;5,546;0,01;0,031;0,206;-99;1,175;38,43;37,73;0,049;2,08;0,194;3,63;0,01;0,01;0,168;-99;0,8;99,188;99,476;98,835;98,706;98,789;98,907
IGOF;IF;IF;39,941;39,522;0,03;1,202;0,228;1,381;0,015;0,049;0,105;-99;0,398;4,6;10,7;25,9;36,6;58,8;59,1;9,9;0,045;2,18;0,306;2,39;0,01;0,064;0,178;-99;0,1;55,02;14,44;0,048;2,34;0,511;2,43;0,01;0,067;0,193;-99;0,2;44,93;31,88;0,034;1,72;0,309;1,7;0,01;0,01;0,12;-99;0,3;47,88;26,781;0,038;1,901;0,368;1,913;0,01;0,027;0,141;-99;0,271;33,5;49,77;0,023;0,69;0,134;0,97;0,019;0,061;0,076;-99;0,5;99,727;99,712;98,905;100,143;99,78;99,689
IGOF;IF;IF;33,629;49,472;0,033;0,96;0,152;1,366;0,01;0,052;0,071;-99;0,31;13,4;15,9;31,9;47,8;38,8;40,47;37,55;0,053;1,81;0,185;2,28;0,01;0,087;0,118;-99;0,2;44,62;32,46;0,046;1,2;0,256;1,93;0,01;0,051;0,08;-99;0,2;34,97;48,5;0,032;0,97;0,162;1,28;0,01;0,062;0,065;-99;0,3;38,18;43,165;0,037;1,047;0,193;1,496;0,01;0,058;0,07;-99;0,267;25,66;61,36;0,021;0,56;0,09;0,89;0,01;0,031;0,056;-99;0,4;100,272;100,068;99,953;101,156;100,757;99,744
ICTF;IF;IF;33,918;49,341;0,029;0,547;0,259;1,539;0,01;0,053;0,033;-99;0,382;21,4;18,2;37,1;55,3;23,3;35,99;44,78;0,033;0,52;0,159;2,01;0,01;0,017;0,026;-99;0,4;41,79;37;0,036;0,65;0,403;1,88;0,01;0,086;0,039;-99;0,3;33,01;51,08;0,029;0,61;0,285;1,49;0,01;0,043;0,035;-99;0,4;35,9;46,446;0,031;0,623;0,324;1,618;0,01;0,057;0,036;-99;0,367;27,31;60,4;0,019;0,39;0,197;0,92;0,01;0,075;0,031;-99;0,4;100,403;99,085;100,005;100,883;100,593;101,155
IF;IF;IF;26,14;60,876;0,021;0,496;0,506;0,741;0,01;0,021;0,03;-99;1,234;44,1;14;22,1;36,1;19,8;28,58;57,73;0,027;0,41;0,153;0,62;0,01;0,015;0,024;-99;2;37,52;43,55;0,017;0,66;1,018;0,9;0,011;0,01;0,037;-99;1;22,77;65,19;0,018;0,66;0,864;0,97;0,01;0,038;0,047;-99;0,6;28,49;56,798;0,018;0,66;0,924;0,943;0,01;0,027;0,043;-99;0,755;16,42;75,32;0,014;0,39;0,529;0,64;0,01;0,021;0,018;-99;0,4;100,205;99,86;100,129;100,605;100,421;100,576
IF;IF;IF;26,649;60,869;0,022;0,386;0,046;0,364;0,012;0,029;0,037;-99;1,654;49,6;12,2;13,9;26,1;24,3;32,02;53,53;0,024;0,31;0,011;0,19;0,014;0,03;0,035;-99;2,3;42,14;38,86;0,02;0,3;0,027;0,39;0,01;0,039;0,062;-99;2,5;21,12;68;0,023;0,5;0,092;0,57;0,01;0,019;0,044;-99;0,8;30,945;54,379;0,022;0,407;0,062;0,486;0,01;0,028;0,052;-99;1,595;11,07;82,82;0,02;0,52;0,102;0,59;0,01;0,026;0,024;-99;0,4;99,85;99,878;99,903;99,482;99,679;99,98
IF;IF;IF;27,542;57,813;0,021;0,496;0,612;0,997;0,01;0,016;0,044;-99;0,311;32;14,3;21,4;35,7;32,3;24,07;63,02;0,02;0,55;0,308;0,87;0,011;0,01;0,04;-99;0,4;36,77;43,58;0,028;0,63;1,303;1,55;0,01;0,025;0,044;-99;0,3;28,7;56,01;0,025;0,62;0,918;1,34;0,01;0,029;0,041;-99;0,2;31,933;51,031;0,026;0,624;1,072;1,424;0,01;0,027;0,042;-99;0,24;26,13;60,15;0,015;0,3;0,404;0,65;0,01;0,01;0,051;-99;0,3;99,58;99,344;100,145;100,318;100,248;99,075
IF;IF;IF;26,245;59,913;0,016;0,55;0,431;0,761;0,012;0,022;0,054;-99;0,417;37,4;16,3;18,3;34,6;28;20,81;67,54;0,013;0,46;0,309;0,65;0,01;0,01;0,049;-99;0,5;41,52;37,23;0,018;0,57;0,645;0,85;0,017;0,057;0,059;-99;0,5;28,56;57,31;0,022;0,79;0,585;1;0,012;0,034;0,069;-99;0,2;34,665;47,85;0,02;0,686;0,613;0,929;0,014;0,045;0,064;-99;0,341;23,1;64,63;0,016;0,5;0,368;0,7;0,01;0,01;0,047;-99;0,4;99,413;98,883;99,001;100,846;99,974;99,421
IF;IF;IF;30,881;54,382;0,021;0,51;0,084;0,764;0,011;0,011;0,04;-99;0,415;33;17,6;5,4;23;44;22,35;67,3;0,01;0,29;0,032;0,44;0,01;0,01;0,025;-99;0,5;49,6;27,78;0,025;0,3;0,056;0,96;0,018;0,013;0,056;-99;0,3;50,78;24,68;0,034;0,42;0,15;1,16;0,011;0,01;0,054;-99;0,4;49,877;27,052;0,027;0,328;0,078;1,007;0,016;0,012;0,056;-99;0,323;27,35;58,98;0,026;0,77;0,127;0,88;0,01;0,01;0,044;-99;0,4;100,011;100,076;100,159;99,193;99,932;100,006
IF;IF;IF;26,586;59,76;0,026;0,574;0,106;0,737;0,01;0,015;0,059;-99;0,323;31,2;15,4;7,5;22,9;45,9;20,83;67,78;0,011;0,19;0,038;0,32;0,01;0,01;0,023;-99;0,3;44,23;36,09;0,023;0,39;0,068;0,81;0,01;0,013;0,08;-99;0,4;45,61;32,71;0,036;0,56;0,107;0,96;0,01;0,028;0,135;-99;0,4;44,682;34,983;0,027;0,446;0,081;0,859;0,01;0,018;0,098;-99;0,4;21,47;66,67;0,036;0,9;0,165;0,96;0,01;0,018;0,064;-99;0,3;99,35;98,178;100,755;99,818;100,448;99,603
IF;IF;IF;26,819;59,598;0,025;0,664;0,154;0,69;0,011;0,012;0,061;-99;0,355;27,4;18,9;8,4;27,3;45,3;17,06;73,82;0,012;0,27;0,064;0,24;0,014;0,01;0,024;-99;0,4;45,48;33,61;0,027;0,41;0,147;0,65;0,01;0,01;0,07;-99;0,4;43,95;34,41;0,038;0,71;0,213;1,06;0,012;0,025;0,115;-99;0,4;45,009;33,856;0,03;0,502;0,167;0,776;0,011;0,015;0,084;-99;0,4;21,76;66,51;0,029;1;0,2;0,91;0,01;0,012;0,07;-99;0,3;99,623;98,865;100,021;99,516;99,864;99,937
IF;IF;IF;26,627;60,302;0,018;0,372;0,123;0,467;0,01;0,019;0,024;-99;0,454;40,6;19,7;6,1;25,8;33,6;18,31;71,95;0,01;0,25;0,039;0,22;0,01;0,031;0,019;-99;0,5;48,32;29,76;0,018;0,25;0,067;0,44;0,01;0,01;0,022;-99;0,5;47,88;30,81;0,026;0,38;0,168;0,7;0,013;0,024;0,053;-99;0,3;48,216;30,008;0,02;0,281;0,091;0,501;0,011;0,013;0,029;-99;0,453;20,1;69,49;0,025;0,59;0,248;0,74;0,01;0,01;0,027;-99;0,4;99,447;98,714;99,686;100,7;99,925;99,968
IF;IF;IF;27,2400;59,185;0,032;0,41;0,073;1,301;0,011;0,068;0,067;-99;0,656;29,5;18,9;8,4;27,3;43,2;23,42;64,74;0,019;0,24;0,033;0,86;0,01;0,077;0,083;-99;1;41,87;37,56;0,043;0,29;0,055;1,57;0,01;0,063;0,057;-99;1;43,79;34,67;0,06;0,45;0,113;2,25;0,012;0,019;0,061;-99;0,5;42,461;36,671;0,048;0,339;0,073;1,779;0,011;0,049;0,058;-99;0,846;20,23;69,62;0,03;0,57;0,101;1,3;0,013;0,074;0,062;-99;0,3;100,132;99,545;99,547;100,335;99,789;100,751
IF;IF;IF;31,124;52,654;0,042;0,589;0,039;2,289;0,01;0,036;0,075;-99;0,711;47,2;16,4;5,8;22,2;30,6;33,42;49,02;0,031;0,4;0,031;2,75;0,01;0,036;0,058;-99;0,7;40,77;38,41;0,081;0,52;0,055;2,95;0,01;0,066;0,091;-99;0,8;39,68;37,58;0,096;1,05;0,06;3;0,014;0,063;0,169;-99;0,6;40,485;38,193;0,085;0,658;0,056;2,963;0,011;0,065;0,111;-99;0,748;20,79;68,75;0,027;0,83;0,04;1,09;0,01;0,015;0,076;-99;0,7;100,273;100,141;100,565;98,883;100,124;100,584
IGOF;IF;IF;29,659;54,136;0,044;0,871;0,057;2,164;0,01;0,029;0,129;-99;1,957;33;19,2;7,6;26,8;40,2;34,58;47,38;0,044;0,7;0,036;2,14;0,011;0,018;0,127;-99;3,9;36,38;43,27;0,057;1,05;0,061;2,97;0,01;0,039;0,178;-99;1,5;38,06;40,34;0,072;1,22;0,132;3,48;0,01;0,01;0,173;-99;0,8;36,856;42,439;0,061;1,098;0,081;3,115;0,01;0,031;0,177;-99;1,301;20,82;67,48;0,033;0,86;0,058;1,55;0,01;0,036;0,099;-99;0,8;99,849;99,828;99,687;99,955;99,762;99,924
IGOF;IC;IC;30,33;53,581;0,035;0,469;0,017;1,547;0,01;0,033;0,047;-99;2,255;69,8;11,9;7,6;19,5;10,7;29,58;54,37;0,032;0,37;0,014;1,49;0,01;0,032;0,041;-99;2,6;30,26;54,65;0,032;0,43;0,013;1,56;0,01;0,052;0,035;-99;2,6;36,51;44,83;0,061;1;0,037;2,27;0,01;0,026;0,089;-99;0,6;32,696;50,823;0,043;0,652;0,022;1,837;0,01;0,042;0,056;-99;1,821;30,91;53,46;0,041;0,78;0,03;1,39;0,01;0,025;0,065;-99;0,8;99,074;98,605;100;100,59;100,229;100,027
IGOF;IF;IF;30,0820;53,809;0,023;0,621;0,025;1,827;0,122;0,056;0,061;-99;0,971;43,9;12,8;2,3;15,1;41;33,32;49,53;0,032;0,55;0,02;2,29;0,265;0,052;0,047;-99;1,2;35,82;45,34;0,024;0,51;0,03;2,02;0,01;0,034;0,059;-99;1,1;34,08;49,96;0,019;0,49;0,034;1,49;0,01;0,04;0,062;-99;0,7;35,555;46,044;0,023;0,507;0,031;1,939;0,01;0,035;0,059;-99;1,039;24,6;61,25;0,014;0,74;0,028;1,29;0,01;0,069;0,077;-99;0,7;99,556;100,429;99,241;100,839;99,484;98,651
IGOF;IF;IF;29,574;55,404;0,027;0,581;0,023;2,157;0,01;0,053;0,062;-99;1,407;47;17,9;15;32,9;20,1;30,43;53,99;0,033;0,43;0,018;2,54;0,01;0,042;0,047;-99;1,6;33,01;49,74;0,03;0,66;0,028;2,36;0,01;0,069;0,067;-99;1,5;28,05;58,2;0,021;0,75;0,029;1,77;0,01;0,027;0,082;-99;1,1;30,749;53,597;0,026;0,701;0,028;2,091;0,01;0,05;0,074;-99;1,318;25,65;61,67;0,015;0,74;0,027;1,37;0,01;0,085;0,077;-99;1,1;100,592;100,608;100,153;100,99;100,535;100,655
IGOF;IF;IF;33,1150;48,728;0,03;1,124;0,018;2,343;0,01;0,016;0,133;-99;2,975;39,7;14;6,3;20,3;40;37,2;42,59;0,039;0,88;0,017;2,9;0,01;0,01;0,11;-99;4,2;38,11;40,06;0,042;0,73;0,02;2,93;0,01;0,018;0,104;-99;3,4;36,82;42,47;0,034;1,15;0,025;2,56;0,01;0,092;0,179;-99;2,4;37,71;40,808;0,04;0,86;0,022;2,815;0,01;0,041;0,127;-99;3,09;26,73;58,84;0,017;1,5;0,017;1,55;0,01;0,01;0,158;-99;1,7;99,688;99,651;98,342;99,13;98,588;100,286
IGOS;IC;IC;33,002;50,576;0,029;0,319;0,04;1,997;0,01;0,029;0,028;-99;2,356;75,2;10,7;6,6;17,3;7,5;33,49;50,35;0,028;0,24;0,028;1,81;0,01;0,034;0,021;-99;2,7;38,53;41,26;0,042;0,35;0,058;2,96;0,01;0,01;0,034;-99;2;31,04;52,69;0,033;0,73;0,109;2,82;0,01;0,01;0,053;-99;0,9;35,673;45,621;0,039;0,495;0,077;2,907;0,01;0,01;0,041;-99;1,58;21,95;64,27;0,018;0,71;0,075;1,77;0,01;0,017;0,067;-99;0,7;100,179;100,353;99,812;100,876;100,22;98,34
IGOS;IC;IC;28,8210;56,535;0,029;0,328;0,029;1,691;0,01;0,024;0,043;-99;3,246;71,9;11,3;9,3;20,6;7,5;29,1;56,12;0,027;0,22;0,024;1,66;0,01;0,022;0,038;-99;3,7;34,44;48,91;0,039;0,34;0,037;2,07;0,01;0,014;0,026;-99;3,3;25,56;60,8;0,037;0,75;0,046;1,68;0,01;0,052;0,072;-99;1,4;30,431;54,278;0,038;0,525;0,041;1,894;0,01;0,031;0,047;-99;2,442;21,73;66,71;0,029;0,82;0,041;1,43;0,01;0,03;0,077;-99;1,1;99,828;99,639;100,632;100,003;100,348;100,226
IGOF;IC;IC;35,888;45,274;0,02;0,872;0,064;2,581;0,01;0,113;0,103;-99;3,301;68;14,5;4,5;19;13;36,22;45,07;0,018;0,64;0,048;2,61;0,01;0,096;0,084;-99;3,8;40,16;38,98;0,028;1,02;0,077;2,96;0,01;0,127;0,123;-99;3,1;37,38;40,46;0,025;1,82;0,108;2,8;0,01;0,173;0,162;-99;1,9;39,502;39,331;0,027;1,209;0,084;2,922;0,01;0,138;0,132;-99;2,816;28,87;55,03;0,019;1,59;0,117;1,93;0,012;0,166;0,159;-99;1,4;100,276;100,266;100,693;98,998;100,291;100,309
IGOF;IF;IF;33,1090;49,819;0,02;0,621;0,032;1,851;0,01;0,064;0,072;-99;4,739;40,6;22,5;7,5;30;29,4;32,33;51,23;0,022;0,35;0,022;1,87;0,01;0,081;0,047;-99;6,5;38,87;40,4;0,023;0,55;0,031;2,34;0,01;0,058;0,088;-99;5;37,91;42,09;0,022;0,7;0,039;2,36;0,01;0,054;0,096;-99;3,2;38,63;40,822;0,023;0,588;0,033;2,345;0,01;0,057;0,09;-99;4,55;28,55;57,05;0,016;1,03;0,044;1,32;0,01;0,049;0,089;-99;2,5;99,696;99,664;98,938;99,5;99,079;100,373
IGOF;IF;IF;30,326;53,449;0,019;0,408;0,052;2,715;0,01;0,028;0,027;-99;2,664;38,6;21,4;9,5;30,9;30,5;32,27;49,99;0,018;0,32;0,038;3,03;0,01;0,01;0,018;-99;4,5;39;40,1;0,026;0,38;0,053;3,74;0,01;0,036;0,02;-99;2,8;37,77;41,07;0,03;0,47;0,094;3,73;0,01;0,04;0,03;-99;1,2;38,622;40,398;0,027;0,408;0,066;3,737;0,01;0,037;0,023;-99;2,308;19,46;71,05;0,013;0,52;0,056;1,28;0,01;0,042;0,043;-99;0,7;100,013;99,449;100,076;99,498;99,898;100,845
IF;IC;IC;36,315;45,316;0,029;0,24;0,045;2,71;0,01;0,02;0,021;-99;2,243;63,5;14,8;5,3;20,1;16,4;36,27;45,55;0,028;0,19;0,034;2,79;0,01;0,025;0,022;-99;2,6;44,26;32,79;0,04;0,3;0,077;3,59;0,01;0,01;0,017;-99;2,5;42,1;35,28;0,042;0,43;0,087;3,41;0,01;0,022;0,016;-99;1,4;43,69;33,447;0,041;0,334;0,08;3,543;0,01;0,013;0,017;-99;2,21;27,45;58,96;0,018;0,32;0,047;1,38;0,01;0,01;0,024;-99;0,9;100,284;100,46;100,1;99,519;99,948;100,02
IF;IF;IF;33,545;47,941;0,058;0,716;0,09;2,766;0,01;0,022;0,131;-99;4,749;39,1;26,2;21,5;47,7;13,2;38,26;41,09;0,057;0,48;0,056;3,17;0,01;0,023;0,122;-99;8,3;41,76;35,71;0,08;0,71;0,126;3,59;0,01;0,036;0,149;-99;4,2;24,56;60,64;0,048;1,04;0,124;2,03;0,01;0,01;0,129;-99;1,2;34,007;46,947;0,066;0,859;0,125;2,887;0,01;0,024;0,14;-99;2,848;17,91;71,83;0,03;0,9;0,066;1,13;0,01;0,01;0,127;-99;1,1;99,63;99,511;100,11;99,201;99,701;99,729
IF;IF;IF;39,644;41,276;0,033;1,254;0,003;0,748;0,005;0,05;0,059;-99;-99;23,856;10,897;6,463;17,36;58,784;61,928;9,996;0,029;0,746;0,003;0,533;0,008;0,014;0,095;-99;-99;63,964;6,537;0,046;0,815;0,004;0,661;0,009;0,014;0,191;-99;-99;58,751;13,933;0,058;1,118;0,005;1,042;0,01;0,014;0,096;-99;-99;62,023;9,29;0,05;0,928;0,004;0,803;0,009;0,014;0,156;-99;-99;23,992;63,416;0,029;1,557;0,002;0,819;0,016;0,076;0,003;-99;-99;100,151;100,001;99,787;100,349;99,994;100,257
IF;IF;IF;42,395;36,561;0,022;1,522;0,004;0,817;0,005;0,041;0,031;-99;-99;14,009;16,875;8,874;25,749;60,242;62,757;9,705;0,027;0,319;0,009;0,464;0,012;0,014;0,031;-99;-99;65,007;5,48;0,023;0,567;0,006;0,54;0,006;0,014;0,07;-99;-99;61,882;10,463;0,027;0,983;0,009;0,735;0,009;0,014;0,059;-99;-99;63,93;7,197;0,024;0,71;0,007;0,607;0,007;0,014;0,066;-99;-99;28,456;55,357;0,02;2,149;0,002;0,989;0,016;0,058;0,003;-99;-99;99,646;100,342;99,678;100,809;100,066;99,304
IC;IC;IC;27,374;59,892;0,045;0,396;0,002;0,397;0,076;0,086;0,038;-99;-99;96,25;1,18;0,208;1,388;2,362;27,837;59,22;0,046;0,398;0,002;0,403;0,079;0,086;0,039;-99;-99;35,064;49,967;0,022;0,329;0,002;0,245;0,003;0,048;0,039;-99;-99;25,817;61,803;0,031;0,468;0,002;0,398;0,003;0,073;0,033;-99;-99;33,678;51,741;0,023;0,35;0,002;0,268;0,003;0,052;0,038;-99;-99;4,819;92,049;0,012;0,329;0,002;0,229;0,002;0,115;0,003;-99;-99;100,127;100,132;100,815;99,762;100,657;99,647
IC;IC;IC;29,712;57,011;0,036;0,332;0,002;0,184;0,056;0,092;0,016;-99;-99;95,145;3,112;0,438;3,55;1,305;29,906;56,757;0,036;0,329;0,002;0,181;0,058;0,092;0,016;-99;-99;30,069;56,099;0,029;0,379;0,002;0,268;0,033;0,077;0,028;-99;-99;33,529;51,507;0,033;0,439;0,032;0,181;0,033;0,085;0,03;-99;-99;30,496;55,532;0,029;0,386;0,006;0,257;0,033;0,078;0,028;-99;-99;13,429;79,576;0,021;0,379;0,002;0,231;0,002;0,102;0,009;-99;-99;100,255;100,275;99,943;100,328;99,988;99,549
IC;IC;IC;29,687;57,608;0,028;0,222;0,002;0,122;0,041;0,053;0,002;-99;-99;93,962;2,714;0,479;3,193;2,845;30,314;56,782;0,029;0,22;0,002;0,119;0,043;0,051;0,002;-99;-99;28,32;58,577;0,022;0,21;0,002;0,142;0,015;0,062;0,002;-99;-99;31,766;54,39;0,033;0,359;0,044;0,294;0,016;0,053;0,005;-99;-99;28,837;57,949;0,024;0,232;0,008;0,165;0,015;0,061;0,002;-99;-99;9,931;84,489;0,014;0,26;0,002;0,19;0,002;0,095;0,003;-99;-99;100,558;100,626;99,55;100,665;99,718;99,272
IC;IC;IC;27,8890;58,849;0,036;0,205;0,003;0,136;0,066;0,066;0,002;-99;-99;94,764;3,433;0,562;3,995;1,241;27,734;59,054;0,036;0,2;0,002;0,128;0,066;0,067;0,002;-99;-99;29,92;56,456;0,037;0,21;0,002;0,167;0,068;0,057;0,002;-99;-99;39,858;41,513;0,052;0,289;0,04;0,306;0,079;0,046;0,003;-99;-99;31,318;54,354;0,039;0,221;0,007;0,187;0,07;0,055;0,002;-99;-99;28,72;57,65;0,036;0,507;0,05;0,587;0,002;0,06;0,046;-99;-99;99,284;99,253;99,824;99,392;99,763;100,06
IC;IC;IC;28,306;58,71;0,028;0,231;0,002;0,137;0,046;0,061;0,002;-99;-99;96,969;2,15;0,257;2,407;0,624;28,401;58,56;0,028;0,23;0,002;0,136;0,047;0,06;0,002;-99;-99;28,581;58,83;0,024;0,24;0,002;0,17;0,034;0,075;0,002;-99;-99;29,645;57,452;0,03;0,3;0,037;0,119;0,038;0,07;0,002;-99;-99;28,695;58,683;0,025;0,246;0,006;0,165;0,034;0,074;0,002;-99;-99;12,031;82,102;0,019;0,309;0,002;0,241;0,002;0,095;0,006;-99;-99;99,723;99,707;100,271;100,481;100,294;100,002
IC;IC;IC;25,432;63,031;0,034;0,211;0,002;0,198;0,063;0,06;0,002;-99;-99;95,401;3,152;0,448;3,6;0,999;25,44;63,005;0,034;0,21;0,002;0,198;0,063;0,06;0,002;-99;-99;27,746;60,252;0,037;0,2;0,002;0,195;0,064;0,053;0,002;-99;-99;32,718;53,088;0,047;0,26;0,038;0,097;0,094;0,052;0,002;-99;-99;28,365;59,36;0,038;0,207;0,006;0,183;0,068;0,053;0,002;-99;-99;14,148;78,755;0,04;0,289;0,002;0,297;0,002;0,092;0,04;-99;-99;100,007;99,99;100,522;100,527;100,521;99,797
IC;IC;IC;26,683;61,485;0,028;0,154;0,002;0,136;0,032;0,068;0,002;-99;-99;94,751;3,018;0,488;3,506;1,743;26,735;61,4;0,028;0,15;0,002;0,13;0,033;0,068;0,002;-99;-99;30,854;56,048;0,029;0,16;0,002;0,181;0,025;0,048;0,002;-99;-99;35,955;48,259;0,047;0,259;0,024;0,292;0,025;0,041;0,003;-99;-99;31,564;54,964;0,032;0,174;0,005;0,196;0,025;0,047;0,002;-99;-99;14,063;79,234;0,035;0,329;0,002;0,335;0,002;0,106;0,012;-99;-99;100,094;100,073;100,645;100,423;100,615;100,207
IC;IC;IC;29,994;57,381;0,028;0,129;0,002;0,155;0,018;0,056;0,002;-99;-99;92,279;5,175;0,74;5,915;1,806;30,435;56,806;0,028;0,12;0,002;0,148;0,018;0,056;0,002;-99;-99;27,72;60,088;0,027;0,12;0,002;0,252;0,013;0,047;0,002;-99;-99;30,439;56,96;0,033;0,15;0,022;0,07;0,014;0,043;0,002;-99;-99;28,06;59,697;0,028;0,124;0,005;0,229;0,013;0,046;0,002;-99;-99;13,795;79,151;0,029;0,589;0,002;0,251;0,002;0,069;0,018;-99;-99;100,689;100,73;100,218;100,862;100,299;99,872
IC;IC;IC;28,402;58,792;0,015;0,091;0,002;0,16;0,009;0,048;0,002;-99;-99;93,091;4,406;0,655;5,061;1,848;28,524;58,606;0,015;0,09;0,002;0,16;0,009;0,049;0,002;-99;-99;31,566;54,684;0,019;0,09;0,002;0,138;0,009;0,031;0,002;-99;-99;34,39;50,466;0,025;0,12;0,033;0,146;0,01;0,025;0,002;-99;-99;31,931;54,138;0,02;0,094;0,006;0,139;0,009;0,03;0,002;-99;-99;12,572;80,881;0,024;0,15;0,002;0,221;0,002;0,068;0,005;-99;-99;99,746;99,734;100,13;100,036;100,117;99,359
IC;IC;IC;29,016;58,38;0,06;0,111;0,002;0,158;0,121;0,034;0,002;-99;-99;93,577;3,318;0,527;3,845;2,578;29,384;57,89;0,06;0,11;0,002;0,156;0,122;0,034;0,002;-99;-99;30,251;56,199;0,07;0,11;0,002;0,162;0,147;0,022;0,002;-99;-99;32,525;53,298;0,066;0,15;0,038;0,229;0,118;0,031;0,002;-99;-99;30,563;55,801;0,069;0,115;0,007;0,171;0,143;0,023;0,002;-99;-99;13,353;80,007;0,034;0,14;0,002;0,203;0,002;0,066;0,045;-99;-99;100,43;100,464;100,055;100,529;100,118;99,634
IC;IC;IC;29,3960;58,434;0,038;0,111;0,002;0,139;0,057;0,041;0,002;-99;-99;95,543;2,879;0,468;3,347;1,11;29,499;58,329;0,038;0,11;0,002;0,139;0,057;0,041;0,002;-99;-99;30,712;55,901;0,04;0,11;0,002;0,123;0,053;0,025;0,002;-99;-99;32,686;52,591;0,048;0,15;0,034;0,074;0,052;0,031;0,002;-99;-99;30,988;55,438;0,041;0,116;0,006;0,116;0,053;0,026;0,002;-99;-99;15,741;76,471;0,043;0,219;0,002;0,247;0,002;0,08;0,039;-99;-99;100,902;100,942;100,217;99,785;100,156;99,664
IC;IC;IC;30,303;56,021;0,058;0,161;0,002;0,166;0,117;0,043;0,002;-99;-99;96,132;2,803;0,442;3,245;0,623;30,379;55,926;0,058;0,16;0,002;0,167;0,117;0,043;0,002;-99;-99;29,976;56,177;0,058;0,16;0,002;0,148;0,114;0,043;0,002;-99;-99;31,58;54,322;0,077;0,2;0,048;0,04;0,124;0,043;0,002;-99;-99;30,194;55,924;0,061;0,165;0,008;0,133;0,115;0,043;0,002;-99;-99;19,189;71,218;0,075;0,239;0,009;0,213;0,002;0,077;0,112;-99;-99;99,971;99,983;99,636;100,119;99,7;99,479
IC;IC;IC;25,552;62,876;0,049;0,202;0,002;0,198;0,077;0,05;0,002;-99;-99;97,277;2,009;0,254;2,263;0,46;25,55;62,887;0,049;0,2;0,002;0,196;0,077;0,05;0,002;-99;-99;27,65;59,608;0,054;0,259;0,002;0,254;0,093;0,055;0,002;-99;-99;30,858;54,845;0,07;0,329;0,042;0,264;0,083;0,039;0,002;-99;-99;28,01;59,073;0,056;0,267;0,006;0,255;0,092;0,053;0,002;-99;-99;13,949;79,306;0,038;0,269;0,006;0,294;0,002;0,081;0,033;-99;-99;100,053;100,056;99,929;99,894;99,924;100,023
IF;IF;IF;36,212;45,112;0,029;0,773;0,076;1,662;0,019;0,029;0,045;-99;1,358;26,7;14,8;14,6;29,4;43,9;46,05;32,23;0,031;0,47;0,055;1,83;0,019;0,073;0,062;-99;2,5;52,88;21,59;0,03;0,42;0,058;1,98;0,031;0,017;0,033;-99;1,8;40;38,91;0,029;0,76;0,085;1,76;0,01;0,02;0,043;-99;1,7;46,484;30,191;0,03;0,589;0,071;1,871;0,021;0,018;0,038;-99;1,75;23,35;62,94;0,027;1,08;0,091;1,42;0,019;0,01;0,04;-99;0,4;99,53;100,577;99,755;98,808;99,286;99,058
